station_number,month,mean_temp,mean_dew_point,mean_visibility,mean_wind_speed,max_sustained_wind_speed,max_temperature,total_precipitation,rain
322170,3,27.0,19.100000381469727,17.799999237060547,6.4000000953674316,7.8000001907348633,13.300000190734863,0.079999998211860657,false
318250,1,-13.399999618530273,-19.899999618530273,31.100000381469727,1.1000000238418579,3.9000000953674316,-26.100000381469727,0.0,false
234840,4,-10.699999809265137,-16.100000381469727,12.399999618530273,3.9000000953674316,7.8000001907348633,-33.0,0.039999999105930328,false
484310,12,73.300003051757812,60.599998474121094,2.7000000476837158,1.7000000476837158,6.0,62.200000762939453,0.0,false
234260,2,-11.199999809265137,-19.899999618530273,24.200000762939453,2.2000000476837158,5.8000001907348633,-23.799999237060547,0.0,false
10620,6,32.700000762939453,30.200000762939453,15.100000381469727,5.5999999046325684,9.8999996185302734,31.299999237060547,0.0,true
224710,10,36.099998474121094,32.5,21.5,3.9000000953674316,5.8000001907348633,33.099998474121094,0.0,false
60520,6,54.200000762939453,45.900001525878906,13.800000190734863,12.5,15.899999618530273,49.599998474121094,0.0,false
285880,12,-37.799999237060547,-42.799999237060547,27.399999618530273,3.2999999523162842,5.8000001907348633,-43.200000762939453,0.0,false
949960,6,62.599998474121094,55.599998474121094,27.5,7.6999998092651367,9.8999996185302734,59.700000762939453,0.039999999105930328,false
292630,8,67.0999984741211,53.700000762939453,8.3000001907348633,3.2999999523162842,5.8000001907348633,49.099998474121094,0.0,false
725875,7,73.300003051757812,36.200000762939453,24.899999618530273,5.5999999046325684,11.100000381469727,45.0,0.0,false
590460,7,88.5,74.4000015258789,16.899999618530273,6.4000000953674316,9.6999998092651367,80.800003051757812,0.0,false
571930,7,77.800003051757812,66.0,12.399999618530273,3.0999999046325684,5.8000001907348633,68.699996948242188,0.0,false
822810,3,80.0999984741211,76.300003051757812,11.699999809265137,6.5999999046325684,8.0,73.5999984741211,0.10999999940395355,false
542730,11,42.900001525878906,32.099998474121094,11.899999618530273,2.5,7.8000001907348633,30.899999618530273,0.0,false
319420,11,30.899999618530273,21.799999237060547,18.600000381469727,4.6999998092651367,7.8000001907348633,21.600000381469727,0.05000000074505806,false
334950,4,51.200000762939453,28.200000762939453,12.699999809265137,4.1999998092651367,5.8000001907348633,37.200000762939453,0.0,false
598550,12,71.4000015258789,68.0,7.6999998092651367,6.6999998092651367,9.6999998092651367,66.9000015258789,0.0,false
433290,9,76.5999984741211,75.699996948242188,2.7999999523162842,1.1000000238418579,1.8999999761581421,75.199996948242188,0.20000000298023224,false
234260,12,7.1999998092651367,2.0999999046325684,26.799999237060547,6.4000000953674316,13.600000381469727,1.6000000238418579,0.0,false
400220,4,57.5,48.5,8.8999996185302734,6.0,11.100000381469727,50.700000762939453,0.0,false
570060,6,62.799999237060547,58.599998474121094,5.8000001907348633,0.800000011920929,1.8999999761581421,59.400001525878906,0.20000000298023224,false
619860,7,71.800003051757812,65.5999984741211,12.899999618530273,16.100000381469727,18.100000381469727,69.300003051757812,0.0,false
865300,2,76.0,72.199996948242188,5.6999998092651367,3.2000000476837158,8.0,71.199996948242188,0.5899999737739563,false
289090,3,20.700000762939453,15.300000190734863,5.0999999046325684,2.2000000476837158,5.8000001907348633,10.0,0.0,false
235030,8,47.599998474121094,43.900001525878906,13.199999809265137,5.3000001907348633,7.8000001907348633,41.900001525878906,0.079999998211860657,false
64080,4,45.400001525878906,33.400001525878906,4.1999998092651367,4.1999998092651367,6.0,31.600000381469727,0.0,true
273930,12,-0.800000011920929,-4.0999999046325684,4.0999999046325684,3.2999999523162842,3.9000000953674316,-10.100000381469727,0.0,false
475840,11,44.400001525878906,40.5,6.5999999046325684,5.0999999046325684,11.100000381469727,35.099998474121094,0.62999999523162842,false
569690,9,75.5999984741211,71.0,11.5,0.800000011920929,3.9000000953674316,70.300003051757812,0.019999999552965164,false
309780,11,7.4000000953674316,1.8999999761581421,31.100000381469727,1.3999999761581421,3.9000000953674316,-2.2000000476837158,0.0,false
302460,3,-2.7999999523162842,-10.699999809265137,20.799999237060547,1.1000000238418579,1.8999999761581421,-29.700000762939453,0.0,false
934010,10,58.099998474121094,52.0,12.399999618530273,12.800000190734863,20.0,53.400001525878906,0.0,false
13780,6,52.700000762939453,43.599998474121094,42.599998474121094,3.4000000953674316,5.0999999046325684,44.599998474121094,0.0,false
348800,9,67.4000015258789,54.5,6.1999998092651367,11.399999618530273,15.5,39.200000762939453,0.0,false
26260,5,50.799999237060547,38.799999237060547,3.5,1.0,2.9000000953674316,36.099998474121094,0.0,true
295620,5,47.5,45.900001525878906,9.8999996185302734,3.5999999046325684,3.9000000953674316,41.700000762939453,0.23999999463558197,false
10620,2,26.299999237060547,25.799999237060547,9.3000001907348633,3.2999999523162842,8.0,23.899999618530273,0.05000000074505806,false
281440,4,44.299999237060547,22.0,25.700000762939453,4.6999998092651367,7.8000001907348633,31.100000381469727,0.0,false
292630,4,11.199999809265137,4.3000001907348633,7.6999998092651367,2.7999999523162842,5.8000001907348633,-1.2999999523162842,0.0,false
118260,8,56.099998474121094,42.799999237060547,9.8999996185302734,3.0999999046325684,5.8000001907348633,44.400001525878906,0.0,false
218350,6,33.0,31.200000762939453,18.600000381469727,8.6000003814697266,9.6999998092651367,31.600000381469727,0.20000000298023224,false
534870,11,38.400001525878906,11.600000381469727,8.1999998092651367,3.9000000953674316,9.6999998092651367,22.799999237060547,0.0,false
371710,10,66.5,62.099998474121094,7.0999999046325684,3.9000000953674316,5.8000001907348633,60.599998474121094,0.029999999329447746,false
238490,7,58.700000762939453,53.099998474121094,5.5,6.4000000953674316,11.699999809265137,54.0,0.34999999403953552,false
430140,2,71.5999984741211,45.299999237060547,3.5999999046325684,3.2999999523162842,6.0,60.799999237060547,0.0,false
360910,8,56.200000762939453,51.900001525878906,18.399999618530273,0.800000011920929,3.9000000953674316,48.599998474121094,0.11999999731779099,false
919480,2,76.699996948242188,73.0999984741211,12.399999618530273,0.699999988079071,2.9000000953674316,73.4000015258789,0.0,false
305420,4,14.899999618530273,-8.3999996185302734,31.100000381469727,9.6999998092651367,17.5,4.5999999046325684,0.0099999997764825821,false
61470,9,56.599998474121094,52.099998474121094,13.100000381469727,16.0,20.0,55.799999237060547,0.0,false
486200,3,81.5999984741211,75.5999984741211,14.600000381469727,3.0999999046325684,7.0,75.9000015258789,0.0,false
132240,8,77.0999984741211,61.099998474121094,12.399999618530273,2.7999999523162842,5.8000001907348633,59.200000762939453,0.0,false
577660,6,82.0999984741211,75.699996948242188,11.699999809265137,3.2999999523162842,7.8000001907348633,75.9000015258789,0.0099999997764825821,false
619720,7,72.199996948242188,63.099998474121094,21.0,4.0999999046325684,6.0,63.700000762939453,0.0,false
337770,1,26.600000381469727,19.600000381469727,13.800000190734863,3.0999999046325684,3.9000000953674316,24.100000381469727,0.0,false
601850,7,74.0,67.4000015258789,8.8999996185302734,10.199999809265137,12.0,65.0999984741211,0.0,false
313290,6,59.200000762939453,55.200000762939453,29.700000762939453,2.7999999523162842,5.8000001907348633,52.5,0.11999999731779099,true
285930,12,-8.6999998092651367,-12.5,17.399999618530273,2.5,5.8000001907348633,-18.899999618530273,0.0,false
483760,8,82.9000015258789,70.5999984741211,4.4000000953674316,8.1000003814697266,15.0,77.5,0.0,false
307130,8,59.299999237060547,55.5,19.600000381469727,5.3000001907348633,11.699999809265137,51.099998474121094,0.05000000074505806,true
918430,5,74.4000015258789,66.300003051757812,19.5,4.8000001907348633,11.100000381469727,63.299999237060547,0.0,false
943400,4,72.9000015258789,46.0,31.100000381469727,1.8999999761581421,1.8999999761581421,58.099998474121094,0.0,false
305540,2,-3.5999999046325684,-13.600000381469727,17.299999237060547,5.0,13.600000381469727,-16.799999237060547,0.0,false
858740,5,38.799999237060547,32.900001525878906,14.600000381469727,25.899999618530273,35.0,35.599998474121094,0.20000000298023224,false
607600,5,73.300003051757812,53.900001525878906,4.0,19.600000381469727,25.100000381469727,66.9000015258789,0.0,false
236290,6,40.099998474121094,29.0,12.399999618530273,10.0,11.699999809265137,33.799999237060547,0.029999999329447746,false
320980,4,30.600000381469727,29.5,2.7999999523162842,11.899999618530273,13.600000381469727,29.299999237060547,0.0,true
585560,3,48.0,36.099998474121094,11.600000381469727,1.8999999761581421,5.8000001907348633,38.700000762939453,0.0,false
783680,12,74.5,65.0,6.8000001907348633,5.0,11.699999809265137,62.400001525878906,0.0,false
610360,6,90.0999984741211,71.9000015258789,9.1999998092651367,6.0,12.0,81.0,0.0,false
286420,5,35.400001525878906,21.100000381469727,6.1999998092651367,8.6000003814697266,15.5,25.899999618530273,0.0,false
587150,8,85.699996948242188,74.699996948242188,11.699999809265137,2.7999999523162842,5.8000001907348633,77.9000015258789,0.0,false
336580,8,64.300003051757812,52.900001525878906,4.4000000953674316,7.5,11.699999809265137,53.599998474121094,0.0,false
337230,8,68.5999984741211,52.200000762939453,13.300000190734863,3.5999999046325684,7.8000001907348633,57.700000762939453,0.15999999642372131,false
585560,4,60.099998474121094,49.299999237060547,11.800000190734863,3.0999999046325684,5.8000001907348633,46.0,0.0,false
919480,7,69.0,66.4000015258789,9.1999998092651367,14.300000190734863,16.899999618530273,63.5,0.75,false
21420,10,34.599998474121094,33.099998474121094,6.4000000953674316,3.2999999523162842,5.0999999046325684,33.099998474121094,0.039999999105930328,false
431500,7,81.9000015258789,76.4000015258789,4.0999999046325684,6.1999998092651367,15.899999618530273,76.300003051757812,0.039999999105930328,false
302300,7,67.300003051757812,62.5,26.100000381469727,6.6999998092651367,15.5,51.299999237060547,0.0,false
61190,1,35.099998474121094,34.0,0.89999997615814209,12.199999809265137,18.100000381469727,33.099998474121094,0.019999999552965164,true
167320,1,53.299999237060547,45.0,10.699999809265137,3.0999999046325684,12.0,47.299999237060547,0.0,false
673350,6,64.4000015258789,60.599998474121094,14.5,0.60000002384185791,3.9000000953674316,54.0,0.0,true
29450,7,59.599998474121094,54.0,14.600000381469727,4.0,6.0,55.200000762939453,0.0,false
255380,8,50.799999237060547,40.900001525878906,25.700000762939453,4.4000000953674316,11.699999809265137,40.099998474121094,0.0099999997764825821,false
506030,9,49.799999237060547,37.400001525878906,18.600000381469727,1.8999999761581421,5.8000001907348633,37.900001525878906,0.0,false
601550,11,63.400001525878906,61.200000762939453,4.3000001907348633,8.6999998092651367,14.0,59.900001525878906,0.039999999105930328,false
543080,4,45.0,21.799999237060547,18.600000381469727,2.2000000476837158,3.9000000953674316,31.600000381469727,0.0,false
514950,6,71.0,41.900001525878906,18.600000381469727,6.4000000953674316,17.5,50.900001525878906,0.0,false
595590,8,81.800003051757812,74.9000015258789,17.299999237060547,4.1999998092651367,7.8000001907348633,75.5999984741211,0.039999999105930328,false
573780,6,83.800003051757812,70.9000015258789,10.199999809265137,8.8999996185302734,11.699999809265137,72.300003051757812,0.0,false
150850,5,49.299999237060547,45.700000762939453,7.5,6.9000000953674316,15.5,44.599998474121094,0.0,false
573990,9,74.0999984741211,61.299999237060547,17.799999237060547,1.3999999761581421,5.8000001907348633,61.5,0.0,false
619700,2,80.699996948242188,76.699996948242188,12.399999618530273,10.199999809265137,15.899999618530273,77.4000015258789,0.0,false
343040,9,68.4000015258789,55.299999237060547,16.899999618530273,5.8000001907348633,13.600000381469727,61.5,0.0,false
